Year,Period,Site,Plot,Region,Month,Day,Date,n_throw,nplot,snail,presence,length
1999,1,7,A,SRS,2,1,1999-02-01,7,270,1,1,35.73
1999,1,7,A,SRS,2,1,1999-02-01,7,270,2,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,3,1,30.84
1999,1,7,A,SRS,2,1,1999-02-01,7,270,4,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,5,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,6,1,25.64
1999,1,7,A,SRS,2,1,1999-02-01,7,270,7,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,8,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,9,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,10,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,11,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,12,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,13,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,14,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,15,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,16,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,17,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,18,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,19,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,20,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,21,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,22,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,23,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,24,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,25,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,26,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,27,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,28,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,29,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,30,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,31,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,32,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,33,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,34,0,NA
1999,1,7,A,SRS,2,1,1999-02-01,7,270,35,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,1,1,29.78
1999,1,7,B,SRS,2,1,1999-02-01,7,271,2,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,3,1,40.36
1999,1,7,B,SRS,2,1,1999-02-01,7,271,4,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,5,1,37.81
1999,1,7,B,SRS,2,1,1999-02-01,7,271,6,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,7,1,36
1999,1,7,B,SRS,2,1,1999-02-01,7,271,8,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,9,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,10,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,11,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,12,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,13,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,14,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,15,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,16,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,17,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,18,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,19,0,NA
1999,1,7,B,SRS,2,1,1999-02-01,7,271,20,0,NA
