Year,Period,Site,Plot,Throw,Region,Month,Species,Length_mm,Comments,Day
1996,1,7,A,2,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,A,3,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,A,1,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,A,6,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,A,5,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,A,4,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,A,7,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,B,2,SRS,2,POMPAL,40,"RELEASED, LARGE",1
1996,1,7,B,3,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,B,1,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,B,6,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,B,5,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,B,4,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,B,7,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,C,2,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,C,3,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,C,1,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,C,6,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,C,5,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,C,4,SRS,2,NO_POMPAL,NA,NA,1
1996,1,7,C,7,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,A,2,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,A,3,SRS,2,POMPAL,40,"RELEASED, LARGE",1
1996,1,37,A,1,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,A,6,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,A,5,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,A,4,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,A,7,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,B,2,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,B,3,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,B,1,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,B,6,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,B,5,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,B,4,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,B,7,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,C,2,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,C,3,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,C,1,SRS,2,POMPAL,40,"RELEASED, LARGE",1
1996,1,37,C,6,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,C,5,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,C,4,SRS,2,NO_POMPAL,NA,NA,1
1996,1,37,C,7,SRS,2,NO_POMPAL,NA,NA,1
1996,1,8,A,2,SRS,2,NO_POMPAL,NA,NA,1
1996,1,8,A,3,SRS,2,NO_POMPAL,NA,NA,1
1996,1,8,A,1,SRS,2,NO_POMPAL,NA,NA,1
1996,1,8,A,6,SRS,2,NO_POMPAL,NA,NA,1
1996,1,8,A,5,SRS,2,NO_POMPAL,NA,NA,1
1996,1,8,A,4,SRS,2,NO_POMPAL,NA,NA,1
